feature_type,dataset,difficulty,query type,alpha,diffusion scalar,distance metric,mAP,precision at 1,precision at 5,precision at 10
resnet,ox,H,expanded,0.5,,cosine,0.7866209342285932,0.7428571428571429,0.7485714285714287,0.6857142857142858
resnet,ox,H,expanded,0.75,,cosine,0.7836935598430652,0.7428571428571429,0.7485714285714287,0.6814285714285715
resnet,ox,H,expanded,1.0,,cosine,0.7812901788312212,0.7428571428571429,0.7485714285714287,0.6800000000000002
resnet,ox,H,diffusion,,1.0,,0.4668109038248931,0.4857142857142857,0.4914285714285714,0.4557142857142857
resnet,par,E,basic,,,euclidean,0.9134924780984979,1.0,0.9942857142857142,0.9828571428571428
resnet,par,E,expanded,0.25,,euclidean,0.9216370346689475,1.0,0.9942857142857142,0.99
resnet,par,E,expanded,0.5,,euclidean,0.9302642604611205,1.0,0.9942857142857142,0.9914285714285715
resnet,par,E,expanded,0.75,,euclidean,0.9382025072629322,1.0,0.9942857142857142,0.9928571428571429
resnet,par,E,expanded,1.0,,euclidean,0.945548544938764,1.0,0.9942857142857142,0.9957142857142858
resnet,par,E,basic,,,cosine,0.9999729842836189,1.0,1.0,1.0
resnet,par,E,expanded,0.25,,cosine,0.9999849890855396,1.0,1.0,1.0
resnet,par,E,expanded,0.5,,cosine,0.9999853270739679,1.0,1.0,1.0
resnet,par,E,expanded,0.75,,cosine,0.9999853270739679,1.0,1.0,1.0
resnet,par,E,expanded,1.0,,cosine,0.9999853661289564,1.0,1.0,1.0
resnet,par,E,diffusion,,1.0,,0.9852516932739808,0.9857142857142858,0.9857142857142858,0.9857142857142858
resnet,par,M,basic,,,euclidean,0.9106505712678308,1.0,1.0,0.9957142857142858
resnet,par,M,expanded,0.25,,euclidean,0.9124981944680426,1.0,1.0,0.9971428571428571
resnet,par,M,expanded,0.5,,euclidean,0.9144173728808543,1.0,1.0,0.9985714285714287
resnet,par,M,expanded,0.75,,euclidean,0.9162434675174224,1.0,1.0,1.0
resnet,par,M,expanded,1.0,,euclidean,0.9178922476411638,1.0,1.0,1.0
resnet,par,M,basic,,,cosine,0.9994494387571072,1.0,1.0,1.0
resnet,par,M,expanded,0.25,,cosine,0.9995731474665769,1.0,1.0,1.0
resnet,par,M,expanded,0.5,,cosine,0.9995734130758017,1.0,1.0,1.0
resnet,par,M,expanded,0.75,,cosine,0.9995669443974143,1.0,1.0,1.0
resnet,par,M,expanded,1.0,,cosine,0.9995586062286185,1.0,1.0,1.0
resnet,par,M,diffusion,,1.0,,0.9183580352675018,0.9857142857142858,0.9828571428571428,0.9771428571428572
resnet,par,H,basic,,,euclidean,0.9152957706684987,1.0,1.0,0.9928571428571429
resnet,par,H,expanded,0.25,,euclidean,0.9168147897655091,1.0,1.0,0.9942857142857142
resnet,par,H,expanded,0.5,,euclidean,0.9181393736568243,1.0,1.0,0.9957142857142858
resnet,par,H,expanded,0.75,,euclidean,0.9191179693949234,1.0,1.0,0.9985714285714287
resnet,par,H,expanded,1.0,,euclidean,0.9197100668936453,1.0,1.0,0.9985714285714287
resnet,par,H,basic,,,cosine,0.9981388112203007,1.0,1.0,1.0
resnet,par,H,expanded,0.25,,cosine,0.9983261072153801,1.0,1.0,1.0
resnet,par,H,expanded,0.5,,cosine,0.9983040713012311,1.0,1.0,1.0
resnet,par,H,expanded,0.75,,cosine,0.9982563318393863,1.0,1.0,1.0
resnet,par,H,expanded,1.0,,cosine,0.9982004996879766,1.0,1.0,1.0
resnet,par,H,diffusion,,1.0,,0.9535970119049245,0.9857142857142858,0.9857142857142858,0.9728571428571428
vit,ox,E,basic,,,euclidean,0.9184808753968682,0.9714285714285714,0.7857142857142857,0.7142857142857143
vit,ox,E,expanded,0.25,,euclidean,0.9273227374752523,0.9714285714285714,0.7857142857142857,0.7185714285714285
vit,ox,E,expanded,0.5,,euclidean,0.9282207415735972,0.9714285714285714,0.7857142857142857,0.7185714285714285
vit,ox,E,expanded,0.75,,euclidean,0.9279116623849256,0.9714285714285714,0.7857142857142857,0.7185714285714285
vit,ox,E,expanded,1.0,,euclidean,0.9276446464387078,0.9714285714285714,0.7857142857142857,0.7185714285714285
vit,ox,E,basic,,,cosine,0.9117628667549909,0.9714285714285714,0.78,0.7114285714285714
vit,ox,E,expanded,0.25,,cosine,0.9221607839780739,0.9714285714285714,0.78,0.7171428571428571
vit,ox,E,expanded,0.5,,cosine,0.923236315502593,0.9714285714285714,0.78,0.7171428571428571
vit,ox,E,expanded,0.75,,cosine,0.9240758289764904,0.9714285714285714,0.78,0.7171428571428571
vit,ox,E,expanded,1.0,,cosine,0.9242807877354254,0.9714285714285714,0.78,0.7171428571428571
vit,ox,E,diffusion,,1.0,,0.8767672495264616,0.8285714285714286,0.742857142857143,0.7028571428571428
vit,ox,M,basic,,,euclidean,0.8607262933183123,0.9714285714285714,0.8571428571428571,0.7757142857142858
vit,ox,M,expanded,0.25,,euclidean,0.8845079548627919,0.9714285714285714,0.8571428571428571,0.7942857142857143
vit,ox,M,expanded,0.5,,euclidean,0.8973324549865606,0.9714285714285714,0.8571428571428571,0.7985714285714286
vit,ox,M,expanded,0.75,,euclidean,0.9021747330476158,0.9714285714285714,0.8571428571428571,0.8000000000000002
vit,ox,M,expanded,1.0,,euclidean,0.9041809112143131,0.9714285714285714,0.8571428571428571,0.8071428571428572
vit,ox,M,basic,,,cosine,0.8514689116597296,0.9714285714285714,0.8457142857142858,0.7685714285714286
vit,ox,M,expanded,0.25,,cosine,0.8651139721966635,0.9714285714285714,0.8457142857142858,0.7785714285714287
vit,ox,M,expanded,0.5,,cosine,0.8731409462921934,0.9714285714285714,0.8457142857142858,0.7842857142857144
vit,ox,M,expanded,0.75,,cosine,0.8777760676823942,0.9714285714285714,0.8457142857142858,0.7885714285714285
vit,ox,M,expanded,1.0,,cosine,0.8802931240879986,0.9714285714285714,0.8457142857142858,0.7914285714285713
vit,ox,M,diffusion,,1.0,,0.7665244601236896,0.8857142857142857,0.76,0.6971428571428571
vit,ox,H,basic,,,euclidean,0.8395945291572855,0.9571428571428572,0.7657142857142857,0.6899999999999998
vit,ox,H,expanded,0.25,,euclidean,0.8420461236779535,0.9571428571428572,0.7657142857142857,0.69
vit,ox,H,expanded,0.5,,euclidean,0.8424536715117782,0.9571428571428572,0.7657142857142857,0.6885714285714285
vit,ox,H,expanded,0.75,,euclidean,0.8419792568663033,0.9571428571428572,0.7657142857142857,0.6928571428571427
vit,ox,H,expanded,1.0,,euclidean,0.8408609124603399,0.9571428571428572,0.7657142857142857,0.6928571428571427
vit,ox,H,basic,,,cosine,0.8266221264342415,0.9428571428571428,0.7657142857142857,0.6885714285714285
vit,ox,H,expanded,0.25,,cosine,0.8307834416134409,0.9428571428571428,0.7657142857142857,0.69
vit,ox,H,expanded,0.5,,cosine,0.832592884015442,0.9428571428571428,0.7657142857142857,0.69
vit,ox,H,expanded,0.75,,cosine,0.8348207406587052,0.9428571428571428,0.7657142857142857,0.6957142857142856
vit,ox,H,expanded,1.0,,cosine,0.8343195250436578,0.9428571428571428,0.7657142857142857,0.6928571428571427
vit,ox,H,diffusion,,1.0,,0.8337757525837475,0.8285714285714286,0.7371428571428571,0.69
vit,par,E,basic,,,euclidean,0.9999954721534828,1.0,1.0,1.0
vit,par,E,expanded,0.25,,euclidean,0.9999954721534828,1.0,1.0,1.0
vit,par,E,expanded,0.5,,euclidean,0.9999953028673961,1.0,1.0,1.0
vit,par,E,expanded,0.75,,euclidean,0.9999953028673961,1.0,1.0,1.0
vit,par,E,expanded,1.0,,euclidean,0.9999951341650546,1.0,1.0,1.0
vit,par,E,basic,,,cosine,0.9999949642911687,1.0,1.0,1.0
vit,par,E,expanded,0.25,,cosine,0.9999949642911687,1.0,1.0,1.0
vit,par,E,expanded,0.5,,cosine,0.9999947955888272,1.0,1.0,1.0
vit,par,E,expanded,0.75,,cosine,0.9999949654627128,1.0,1.0,1.0
vit,par,E,expanded,1.0,,cosine,0.9999946274742846,1.0,1.0,1.0
vit,par,E,diffusion,,1.0,,0.9287937260241897,0.9714285714285714,0.9714285714285714,0.962857142857143
vit,par,M,basic,,,euclidean,0.9994308196645103,1.0,1.0,1.0
vit,par,M,expanded,0.25,,euclidean,0.9994275943459461,1.0,1.0,1.0
vit,par,M,expanded,0.5,,euclidean,0.9994234512450918,1.0,1.0,1.0
vit,par,M,expanded,0.75,,euclidean,0.9994124890216702,1.0,1.0,1.0
vit,par,M,expanded,1.0,,euclidean,0.9993991099163351,1.0,1.0,1.0
vit,par,M,basic,,,cosine,0.9995945341170379,1.0,1.0,1.0
vit,par,M,expanded,0.25,,cosine,0.999609489475747,1.0,1.0,1.0
vit,par,M,expanded,0.5,,cosine,0.9996108017906122,1.0,1.0,1.0
vit,par,M,expanded,0.75,,cosine,0.9996149835841467,1.0,1.0,1.0
vit,par,M,expanded,1.0,,cosine,0.999617844391786,1.0,1.0,1.0
vit,par,M,diffusion,,1.0,,0.9190449274819892,0.9714285714285714,0.9714285714285714,0.9728571428571428
vit,par,H,basic,,,euclidean,0.9981093396431487,1.0,1.0,1.0
vit,par,H,expanded,0.25,,euclidean,0.9980898396322906,1.0,1.0,1.0
vit,par,H,expanded,0.5,,euclidean,0.9980569652924304,1.0,1.0,1.0
vit,par,H,expanded,0.75,,euclidean,0.9980044159152586,1.0,1.0,1.0
vit,par,H,expanded,1.0,,euclidean,0.997940638640859,1.0,1.0,1.0
vit,par,H,basic,,,cosine,0.9983795259835458,1.0,1.0,1.0
vit,par,H,expanded,0.25,,cosine,0.9984279452990066,1.0,1.0,1.0
vit,par,H,expanded,0.5,,cosine,0.998443841388637,1.0,1.0,1.0
vit,par,H,expanded,0.75,,cosine,0.9984648442501641,1.0,1.0,1.0
vit,par,H,expanded,1.0,,cosine,0.9984564022977029,1.0,1.0,1.0
vit,par,H,diffusion,,1.0,,0.8923836725460662,0.9714285714285714,0.9714285714285714,0.9457142857142855
sift-10k,ox,E,basic,,,euclidean,0.3580676431303087,0.4857142857142857,0.42,0.38285714285714284
sift-10k,ox,E,expanded,0.25,,euclidean,0.3597593465968975,0.4857142857142857,0.42,0.3728571428571429
sift-10k,ox,E,expanded,0.5,,euclidean,0.3671623644265116,0.4857142857142857,0.42,0.3757142857142858
sift-10k,ox,E,expanded,0.75,,euclidean,0.3723274311358393,0.4857142857142857,0.42,0.3757142857142857
sift-10k,ox,E,expanded,1.0,,euclidean,0.37288712099179133,0.4857142857142857,0.42,0.37714285714285717
sift-10k,ox,E,basic,,,cosine,0.3580676431303087,0.4857142857142857,0.42,0.38285714285714284
sift-10k,ox,E,expanded,0.25,,cosine,0.3597593465968975,0.4857142857142857,0.42,0.3728571428571429
sift-10k,ox,E,expanded,0.5,,cosine,0.3671623644265116,0.4857142857142857,0.42,0.3757142857142858
sift-10k,ox,E,expanded,0.75,,cosine,0.3723274311358393,0.4857142857142857,0.42,0.3757142857142857
